Year-Month,"Agriculture, forestry & fishing",Mining & quarrying,Manufacturing,"Electricity, gas, steam & air conditioning supply","Water supply, sewerage, waste & remediation activities",Construction,Wholesale & retail trade; repair of motor vehicles and motorcycles,Transport & storage,Accommodation & food service activities,Information & communication,Financial & insurance activities,Real estate activities,Professional scientific & technical activities,Administrative & support service activities,Public admin & defence; compulsory social security,Education,Human health & social work activities,"Arts, entertainment & recreation",Other service activities,Private households
1978-06-01,520,383,6732,251,153,1887,3971,1389,1171,781,802,166,965,1067,2031,1720,1924,490,587,0
1978-09-01,512,376,6727,255,155,1894,4006,1391,1175,783,808,167,971,1073,2033,1739,1939,495,592,0
1978-12-01,512,373,6724,256,156,1913,4060,1393,1211,787,815,169,984,1086,2030,1744,1959,502,599,0
1979-03-01,507,374,6708,257,156,1918,4067,1395,1219,789,819,170,991,1093,2024,1746,1967,502,600,0
1979-06-01,509,374,6704,257,157,1931,4097,1397,1228,791,825,172,999,1102,2020,1757,1982,507,605,0
1979-09-01,511,373,6679,259,157,1947,4134,1402,1235,793,836,173,1009,1111,2010,1762,1987,508,607,0
1979-12-01,510,374,6633,260,157,1959,4159,1409,1245,794,845,175,1018,1118,1999,1758,2009,509,609,0
1980-03-01,509,373,6541,259,156,1962,4153,1408,1257,791,853,176,1023,1120,1992,1747,2025,510,610,0
1980-06-01,510,368,6423,260,155,1962,4151,1406,1265,787,860,177,1031,1126,1983,1740,2044,510,611,0
1980-09-01,513,365,6228,262,155,1951,4096,1398,1258,777,874,177,1029,1122,1984,1740,2058,510,611,0
1980-12-01,503,359,6045,261,154,1921,4055,1384,1261,767,876,177,1027,1114,1979,1723,2077,514,615,0
1981-03-01,503,349,5901,259,152,1893,4038,1369,1250,757,879,177,1024,1107,1968,1712,2090,511,613,0
1981-06-01,492,347,5789,257,150,1863,4035,1359,1234,751,878,177,1025,1101,1958,1715,2098,508,611,0
1981-09-01,485,343,5714,257,149,1829,4040,1352,1244,745,874,178,1033,1106,1947,1715,2111,508,610,0
1981-12-01,484,338,5628,254,148,1801,3993,1339,1260,742,875,178,1031,1106,1938,1708,2103,510,612,0
1982-03-01,484,334,5570,250,148,1800,3989,1333,1271,740,874,179,1034,1111,1921,1707,2122,514,616,0
1982-06-01,488,329,5472,248,146,1809,3975,1325,1268,739,873,181,1048,1119,1916,1706,2129,514,617,0
1982-09-01,485,325,5381,246,145,1803,3952,1312,1256,730,884,181,1049,1116,1910,1710,2168,513,614,0
1982-12-01,493,320,5287,243,144,1800,3914,1307,1231,729,888,181,1049,1122,1907,1706,2136,515,617,0
1983-03-01,485,315,5226,240,143,1797,3923,1301,1228,729,890,183,1059,1134,1908,1707,2125,516,620,0
1983-06-01,484,307,5175,238,142,1799,3958,1296,1254,728,899,187,1078,1149,1911,1714,2154,509,612,0
1983-09-01,491,301,5155,237,144,1834,3999,1298,1290,733,915,191,1102,1170,1916,1727,2197,531,639,0
1983-12-01,495,295,5138,235,144,1859,4053,1304,1291,740,920,194,1117,1186,1915,1745,2219,540,653,0
1984-03-01,500,289,5125,232,144,1875,4088,1308,1307,746,930,197,1135,1202,1913,1750,2231,547,663,0
1984-06-01,498,285,5121,231,144,1886,4117,1310,1328,750,933,201,1154,1216,1908,1757,2242,547,667,0
1984-09-01,499,283,5109,230,143,1898,4136,1311,1341,752,946,205,1177,1236,1911,1763,2243,550,672,0
1984-12-01,501,281,5106,228,142,1905,4158,1307,1354,757,951,206,1185,1249,1881,1769,2289,558,679,0
1985-03-01,503,279,5096,226,142,1907,4152,1305,1360,759,953,207,1192,1252,1882,1779,2322,563,686,0
1985-06-01,504,270,5089,224,143,1899,4149,1303,1367,762,955,210,1205,1260,1877,1785,2337,573,696,0
1985-09-01,504,260,5092,224,142,1890,4164,1296,1370,761,968,212,1220,1272,1877,1789,2351,575,700,0
1985-12-01,499,251,5062,222,141,1888,4172,1289,1370,763,973,213,1226,1279,1878,1800,2362,571,697,0
1986-03-01,497,239,5030,218,141,1880,4167,1281,1365,761,976,213,1229,1283,1879,1816,2376,573,699,0
1986-06-01,496,231,4982,218,141,1883,4157,1276,1369,762,980,216,1241,1293,1869,1837,2412,583,710,0
1986-09-01,499,222,4957,218,140,1894,4169,1274,1373,762,1001,219,1258,1300,1877,1858,2435,585,714,0
1986-12-01,499,213,4937,215,141,1914,4174,1269,1375,764,1009,220,1265,1308,1875,1876,2456,588,720,0
1987-03-01,500,203,4912,212,141,1936,4169,1268,1376,767,1010,223,1281,1322,1875,1886,2488,591,725,0
1987-06-01,504,201,4950,212,142,1967,4209,1276,1387,776,1026,227,1305,1342,1891,1909,2525,600,738,0
1987-09-01,508,200,4964,213,143,2000,4234,1288,1401,783,1060,232,1331,1362,1901,1934,2558,608,749,0
1987-12-01,510,196,4980,213,143,2022,4291,1295,1442,791,1081,234,1345,1375,1894,1950,2598,616,760,0
1988-03-01,509,188,4997,211,143,2051,4318,1303,1469,799,1090,238,1367,1393,1884,1967,2642,620,766,0
1988-06-01,509,180,5007,212,143,2065,4357,1311,1488,806,1109,243,1393,1413,1873,1981,2680,618,768,0
1988-09-01,512,179,5017,212,144,2084,4417,1322,1527,813,1133,249,1428,1444,1857,1998,2695,625,778,0
1988-12-01,518,176,5033,211,145,2114,4484,1331,1558,822,1145,252,1445,1462,1802,2007,2717,633,789,0
1989-03-01,521,172,5037,210,145,2152,4556,1339,1603,831,1158,256,1467,1485,1789,2029,2754,643,805,0
1989-06-01,517,169,5031,206,146,2195,4572,1360,1614,836,1160,260,1487,1499,1792,2037,2715,643,808,0
1989-09-01,517,164,5043,203,147,2207,4585,1370,1635,836,1164,264,1509,1525,1797,2057,2677,643,810,0
1989-12-01,516,163,5011,200,147,2202,4613,1382,1663,842,1165,266,1522,1544,1815,2064,2718,634,801,0
1990-03-01,516,161,4963,197,146,2212,4618,1388,1669,844,1170,267,1533,1556,1821,2060,2736,633,800,0
1990-06-01,516,159,4925,197,145,2221,4645,1386,1675,847,1172,270,1549,1577,1827,2060,2752,642,806,0
1990-09-01,509,156,4875,196,143,2199,4639,1388,1689,840,1180,269,1545,1571,1830,2034,2750,640,801,0
1990-12-01,502,152,4768,195,140,2168,4608,1381,1694,833,1166,266,1531,1565,1829,2049,2771,634,793,0
1991-03-01,501,148,4631,193,138,2120,4579,1367,1667,821,1160,264,1523,1565,1839,2042,2783,623,778,0
1991-06-01,496,145,4509,189,138,2078,4553,1356,1636,811,1145,262,1509,1552,1837,2038,2796,624,773,0
1991-09-01,491,142,4432,185,137,2039,4556,1349,1619,804,1138,261,1507,1546,1842,2015,2805,625,771,0
1991-12-01,494,133,4379,179,140,2011,4541,1345,1581,802,1126,260,1501,1547,1848,2017,2821,629,774,0
1992-03-01,496,125,4327,174,144,1983,4561,1343,1596,800,1113,261,1505,1551,1848,2030,2853,636,779,0
1992-06-01,493,121,4286,168,146,1953,4524,1326,1607,796,1111,261,1506,1549,1839,2009,2861,635,775,0
1992-09-01,491,117,4192,166,147,1915,4438,1291,1576,782,1089,259,1500,1534,1826,1990,2839,628,764,0
1992-12-01,487,108,4104,160,149,1883,4439,1290,1583,780,1077,259,1500,1543,1815,1990,2855,632,765,0
1993-03-01,503,102,4105,156,151,1872,4473,1291,1580,787,1076,263,1523,1567,1802,1994,2866,645,779,0
1993-06-01,506,88,4098,151,154,1851,4495,1283,1564,790,1078,265,1538,1588,1787,1988,2868,646,781,0
1993-09-01,505,83,4086,147,157,1846,4531,1280,1585,790,1070,269,1556,1601,1774,1992,2864,653,786,0
1993-12-01,493,78,4092,146,154,1860,4561,1278,1597,794,1085,269,1558,1595,1756,2002,2887,656,789,0
1994-03-01,492,74,4096,144,151,1867,4582,1278,1564,794,1086,268,1547,1596,1745,1997,2904,656,789,0
1994-06-01,487,70,4121,140,149,1874,4605,1287,1580,797,1086,269,1553,1599,1731,2015,2883,648,785,0
1994-09-01,484,69,4151,135,148,1888,4627,1289,1616,805,1097,278,1599,1643,1716,2010,2894,643,781,0
1994-12-01,470,68,4176,131,147,1879,4650,1283,1619,812,1102,280,1613,1655,1698,2021,2898,650,789,0
1995-03-01,469,67,4199,130,143,1844,4649,1284,1638,813,1101,281,1614,1663,1684,2008,2908,649,785,0
1995-06-01,465,67,4214,122,148,1856,4663,1291,1649,818,1104,283,1628,1678,1675,2024,2915,654,793,0
1995-09-01,469,68,4219,119,146,1843,4642,1288,1652,821,1102,286,1651,1715,1667,1998,2926,650,783,0
1995-12-01,471,72,4273,120,145,1837,4696,1277,1638,823,1122,286,1650,1740,1662,2024,2921,653,782,0
1996-03-01,468,76,4263,115,139,1815,4689,1263,1639,813,1096,281,1625,1755,1658,2046,2913,657,699,97
1996-06-01,473,80,4248,106,152,1838,4701,1270,1701,827,1080,282,1629,1791,1648,2046,2920,660,699,101
1996-09-01,484,81,4277,103,173,1812,4722,1275,1709,845,1089,275,1629,1802,1642,2059,2935,673,707,99
1996-12-01,483,82,4272,103,164,1814,4722,1294,1725,848,1079,274,1657,1863,1631,2048,2956,679,702,96
1997-03-01,479,82,4262,108,162,1793,4791,1285,1727,884,1085,287,1626,1888,1620,2044,2933,667,692,90
1997-06-01,499,81,4285,108,159,1794,4841,1297,1739,895,1101,290,1639,1946,1606,2060,2937,681,710,91
1997-09-01,497,78,4275,106,161,1836,4872,1296,1764,899,1105,283,1651,1983,1608,2037,2946,687,732,81
1997-12-01,484,78,4301,106,167,1896,4868,1303,1759,930,1104,286,1667,2001,1599,2040,2927,687,739,78
1998-03-01,483,78,4313,106,163,1885,4872,1313,1759,956,1116,281,1673,1983,1600,2057,2926,667,730,82
1998-06-01,475,76,4299,105,162,1869,4870,1317,1740,970,1113,284,1663,1998,1598,2034,2916,645,732,82
1998-09-01,446,76,4295,105,164,1887,4919,1325,1760,975,1105,293,1688,2005,1596,2039,2904,656,732,79
1998-12-01,428,78,4230,104,167,1918,4893,1343,1785,1014,1115,287,1710,2031,1593,2079,2948,672,731,87
1999-03-01,436,77,4171,102,164,1884,4871,1346,1789,1027,1121,282,1724,2034,1627,2106,2968,690,737,80
1999-06-01,424,76,4128,102,165,1909,4872,1346,1800,1065,1141,291,1743,2036,1632,2121,2933,712,754,78
1999-09-01,420,76,4101,99,163,1920,4893,1364,1817,1079,1153,292,1780,2074,1635,2150,2977,732,777,83
1999-12-01,402,76,4082,96,154,1912,4891,1389,1826,1092,1169,301,1791,2075,1646,2200,2985,739,801,87
2000-03-01,397,76,4049,96,157,1909,4877,1366,1823,1100,1147,304,1793,2067,1647,2217,2982,744,808,83
2000-06-01,399,78,4002,95,161,1959,4887,1359,1825,1132,1144,309,1802,2085,1639,2226,3040,742,815,76
2000-09-01,391,76,3960,95,164,1940,4926,1380,1820,1161,1149,308,1827,2140,1637,2250,3105,737,813,78
2000-12-01,377,76,3904,99,165,1936,4948,1401,1821,1195,1162,316,1847,2177,1641,2245,3071,745,806,81
2001-03-01,357,76,3879,100,169,1937,4990,1400,1824,1196,1165,321,1856,2174,1646,2241,3074,750,802,68
2001-06-01,362,75,3832,102,170,1974,4985,1412,1842,1207,1176,323,1847,2196,1647,2234,3119,750,811,72
2001-09-01,370,75,3775,102,174,2000,4978,1403,1865,1213,1195,320,1855,2209,1647,2224,3167,773,817,153
2001-12-01,362,74,3726,102,178,2023,4984,1414,1862,1212,1193,324,1866,2193,1663,2238,3173,776,818,141
2002-03-01,369,74,3676,102,168,2003,5000,1404,1864,1214,1203,329,1867,2211,1676,2259,3169,778,814,131
2002-06-01,364,70,3636,100,164,1997,5029,1409,1900,1207,1193,332,1861,2213,1685,2290,3193,792,840,144
2002-09-01,352,67,3583,96,161,2014,5035,1422,1925,1211,1189,335,1881,2203,1686,2322,3243,792,839,151
2002-12-01,335,65,3536,94,159,2021,5039,1428,1925,1219,1195,331,1894,2195,1712,2349,3236,780,832,143
2003-03-01,337,63,3496,92,155,2030,4980,1428,1941,1229,1191,339,1902,2204,1736,2371,3256,789,827,166
2003-06-01,348,61,3438,93,155,2057,5011,1436,1950,1241,1194,336,1944,2209,1748,2395,3293,792,835,173
2003-09-01,369,61,3404,92,159,2091,5033,1430,1969,1227,1194,344,1982,2216,1746,2408,3335,811,841,167
2003-12-01,371,61,3355,90,156,2095,5043,1428,1967,1207,1180,346,2009,2224,1757,2453,3345,820,843,148
2004-03-01,357,58,3314,88,155,2111,5034,1420,2009,1203,1174,356,2003,2252,1769,2474,3373,817,836,175
2004-06-01,358,58,3290,83,155,2121,5029,1427,2002,1186,1177,359,2016,2294,1766,2485,3398,823,828,175
2004-09-01,372,61,3238,80,155,2128,5027,1435,2008,1174,1170,361,2032,2320,1778,2482,3448,808,826,159
2004-12-01,373,59,3207,77,158,2184,5065,1444,2021,1164,1172,369,2036,2342,1779,2493,3471,816,827,160
2005-03-01,396,58,3174,75,160,2218,5053,1456,2023,1185,1178,372,2066,2355,1787,2503,3499,821,827,147
2005-06-01,389,58,3120,73,158,2198,5044,1471,2005,1188,1166,389,2105,2376,1786,2517,3528,849,826,155
2005-09-01,384,60,3099,75,158,2236,5053,1479,2012,1186,1162,392,2143,2399,1778,2547,3549,849,827,155
2005-12-01,386,61,3085,73,155,2241,5024,1494,1994,1195,1154,400,2185,2428,1781,2570,3569,858,837,144
2006-03-01,374,59,3042,73,159,2256,5033,1507,2006,1218,1159,412,2191,2423,1783,2586,3591,859,837,136
2006-06-01,381,63,3025,77,162,2269,5014,1503,2011,1228,1160,416,2196,2448,1780,2592,3614,881,847,141
2006-09-01,376,69,3018,79,162,2281,5034,1496,2015,1240,1164,421,2228,2479,1780,2583,3626,898,847,157
2006-12-01,387,67,2999,83,161,2342,5033,1511,2012,1241,1171,425,2256,2522,1780,2585,3625,873,853,144
2007-03-01,376,66,2988,85,160,2318,5033,1501,2005,1245,1174,439,2256,2511,1777,2586,3630,857,846,144
2007-06-01,376,69,2985,85,158,2325,5058,1510,1997,1250,1180,445,2271,2548,1778,2600,3602,864,837,145
2007-09-01,379,69,2973,88,157,2350,5053,1519,2026,1245,1181,465,2307,2588,1771,2585,3616,870,817,161
2007-12-01,376,67,2931,85,160,2329,5081,1528,2043,1235,1185,470,2308,2607,1767,2595,3626,865,827,171
2008-03-01,387,68,2907,86,165,2306,5106,1514,2036,1223,1201,470,2318,2618,1750,2601,3653,876,823,169
2008-06-01,400,67,2884,86,170,2300,5094,1522,2042,1234,1200,478,2333,2625,1743,2609,3691,896,818,154
2008-09-01,390,65,2848,86,174,2373,5060,1521,2039,1239,1206,483,2327,2587,1717,2616,3731,887,818,150
2008-12-01,388,59,2694,92,177,2333,5021,1527,2027,1213,1209,493,2374,2480,1746,2671,3761,894,838,133
2009-03-01,383,66,2689,103,178,2321,4933,1521,1998,1221,1206,481,2392,2433,1746,2731,3756,838,832,76
2009-06-01,390,61,2657,108,166,2243,4927,1505,1989,1215,1193,490,2367,2388,1757,2721,3796,843,828,83
2009-09-01,399,63,2639,118,168,2185,4874,1509,1965,1186,1149,496,2405,2346,1764,2729,3860,842,835,80
2009-12-01,381,62,2621,114,169,2158,4823,1486,1960,1193,1128,480,2409,2370,1765,2745,3867,818,851,77
2010-03-01,398,61,2572,130,173,2065,4814,1460,1964,1168,1107,480,2441,2446,1762,2753,3933,840,845,67
2010-06-01,419,61,2570,134,177,2107,4836,1463,1949,1172,1125,486,2420,2426,1739,2772,3936,855,832,78
2010-09-01,410,64,2565,122,180,2086,4846,1459,1952,1195,1115,473,2393,2434,1725,2763,3951,880,819,84
2010-12-01,439,65,2567,121,180,2055,4869,1460,1943,1193,1116,450,2407,2461,1705,2737,4011,884,835,70
2011-03-01,403,62,2562,131,190,2061,4849,1500,1937,1225,1129,465,2404,2462,1687,2767,4010,876,842,73
2011-06-01,404,61,2564,121,190,2062,4807,1493,1989,1230,1132,467,2429,2445,1636,2752,3992,872,835,76
2011-09-01,434,64,2566,122,187,2087,4820,1488,2011,1233,1127,480,2462,2516,1616,2759,3999,878,853,80
2011-12-01,434,67,2539,121,188,2095,4835,1494,1995,1227,1119,484,2481,2562,1597,2757,4003,880,855,69
2012-03-01,429,73,2580,122,191,2090,4924,1514,2041,1230,1155,493,2490,2583,1579,2805,4040,902,834,71
2012-06-01,426,77,2603,123,195,2072,4878,1511,2043,1226,1145,495,2531,2636,1577,2771,3998,897,822,65
2012-09-01,404,78,2587,126,194,2070,4836,1513,2041,1238,1128,509,2500,2664,1564,2774,4018,915,809,69
2012-12-01,380,73,2547,120,194,2053,4859,1517,2007,1264,1144,505,2575,2565,1562,2765,4055,899,831,75
2013-03-01,373,71,2546,126,196,2049,4900,1501,1997,1268,1139,510,2604,2602,1562,2787,4122,902,845,75
2013-06-01,380,69,2560,122,189,2045,4850,1489,2089,1269,1118,542,2630,2595,1560,2818,4099,909,836,69
2013-09-01,374,68,2575,121,193,2073,4850,1506,2113,1276,1107,546,2670,2615,1553,2846,4114,915,888,63
2013-12-01,414,72,2576,122,198,2113,4901,1505,2135,1309,1115,547,2733,2671,1540,2862,4133,919,892,78
2014-03-01,447,67,2580,120,196,2120,4878,1515,2148,1345,1124,552,2783,2710,1540,2878,4197,944,901,86
2014-06-01,437,66,2621,115,197,2125,4936,1511,2193,1355,1132,550,2826,2818,1540,2887,4203,946,893,95
2014-09-01,444,68,2640,121,195,2134,4961,1534,2197,1361,1128,539,2813,2842,1530,2884,4222,970,908,84
2014-12-01,420,70,2631,125,194,2153,4979,1560,2204,1365,1113,566,2840,2894,1519,2902,4223,943,904,79
2015-03-01,390,75,2650,132,195,2141,5032,1544,2209,1388,1118,556,2891,2870,1503,2936,4223,955,932,66
2015-06-01,388,74,2641,133,200,2121,5010,1611,2241,1384,1112,569,2914,2851,1491,2952,4242,988,901,68
2015-09-01,428,67,2620,134,201,2183,5024,1615,2267,1381,1109,564,2949,2919,1478,2957,4222,983,923,58
2015-12-01,417,65,2626,140,194,2183,5020,1657,2281,1376,1110,568,2967,2911,1478,2969,4232,981,916,64
2016-03-01,402,63,2636,146,201,2229,5019,1690,2278,1387,1119,556,3008,2944,1484,2960,4284,964,927,71
2016-06-01,385,62,2655,141,199,2239,5038,1716,2340,1423,1120,581,3022,2955,1480,2960,4285,965,920,76
2016-09-01,404,62,2626,137,207,2206,5001,1737,2374,1417,1138,557,3053,2948,1475,2959,4273,1007,920,92
2016-12-01,413,61,2634,145,213,2250,4991,1724,2369,1433,1121,553,3053,2977,1470,2969,4283,1024,914,71
2017-03-01,421,56,2649,144,216,2328,5004,1732,2373,1463,1115,582,3037,2989,1466,2941,4334,1013,914,66
2017-06-01,407,59,2680,147,218,2322,5019,1725,2402,1503,1120,557,2990,2983,1487,2922,4360,989,905,63
2017-09-01,416,57,2693,144,221,2349,4976,1697,2390,1487,1106,573,3025,3063,1484,2928,4332,1041,906,71
2017-12-01,419,59,2699,144,228,2330,4995,1697,2348,1468,1114,589,3026,3015,1482,2915,4361,1018,911,56
2018-03-01,413,62,2696,147,226,2316,4999,1695,2397,1474,1125,591,3026,2999,1485,2940,4353,1005,941,59
2018-06-01,409,63,2715,150,227,2311,4992,1727,2435,1473,1111,567,3029,3006,1492,2935,4332,1006,926,66
2018-09-01,411,61,2700,154,227,2321,4994,1740,2421,1460,1124,587,3083,3036,1495,2934,4352,1000,917,57
2018-12-01,380,59,2683,148,224,2352,5008,1806,2454,1479,1123,591,3126,3009,1505,2947,4348,1018,938,45
2019-03-01,387,62,2705,141,228,2361,5033,1781,2466,1489,1132,579,3180,3015,1510,2954,4378,1031,954,54
2019-06-01,398,60,2689,141,223,2339,5017,1814,2512,1494,1135,591,3216,3016,1511,2939,4414,1027,949,60
2019-09-01,403,61,2694,139,220,2308,5001,1803,2506,1505,1143,612,3205,3054,1524,2948,4432,1039,968,51
2019-12-01,405,62,2675,146,219,2325,4971,1806,2512,1533,1131,633,3179,3045,1534,2959,4441,1050,981,53
2020-03-01,384,68,2676,147,219,2293,4938,1802,2519,1554,1137,641,3220,3037,1546,2958,4450,1032,931,58
2020-06-01,377,61,2618,146,218,2276,4976,1802,2347,1526,1129,626,3127,2928,1561,2964,4490,985,935,42
2020-09-01,417,54,2570,143,223,2143,4842,1785,2285,1517,1115,614,3116,2927,1564,2952,4457,931,889,50
2020-12-01,380,53,2556,146,223,2154,4831,1754,2195,1510,1143,645,3140,2920,1587,2939,4502,917,883,46
2021-03-01,375,53,2537,145,218,2171,4809,1825,2235,1517,1155,637,3159,2935,1611,2934,4568,894,905,52
2021-06-01,374,54,2544,147,230,2241,4771,1811,2370,1495,1162,633,3166,2996,1612,2942,4584,959,918,63
2021-09-01,367,52,2537,146,235,2225,4823,1817,2464,1533,1161,639,3185,2985,1612,2944,4599,978,919,64
2021-12-01,348,51,2553,140,231,2223,4760,1824,2495,1564,1143,618,3208,3027,1618,2977,4589,987,915,57
2022-03-01,345,51,2612,129,239,2255,4797,1823,2558,1577,1114,629,3273,3071,1638,3023,4618,989,915,55
2022-06-01,368,51,2612,131,237,2251,4751,1843,2595,1608,1094,652,3261,3136,1628,3057,4636,1019,935,56
2022-09-01,362,52,2617,123,240,2201,4749,1877,2670,1624,1087,662,3276,3128,1638,3009,4647,1023,944,55
2022-12-01,350,53,2621,121,241,2225,4743,1890,2713,1624,1119,682,3353,3099,1644,2993,4679,1029,951,51
2023-03-01,367,57,2613,121,251,2258,4775,1896,2699,1656,1140,704,3419,3102,1663,3019,4767,1035,944,51
2023-06-01,338,50,2576,127,250,2260,4713,1846,2701,1646,1137,685,3359,3138,1678,3025,4775,1049,894,57
2023-09-01,377,51,2599,126,242,2247,4761,1848,2680,1589,1131,695,3439,3070,1677,3025,4822,1078,904,66
2023-12-01,403,50,2599,130,240,2213,4766,1909,2643,1633,1164,693,3378,3011,1689,3065,4880,1084,902,53
2024-03-01,372,48,2579,131,246,2234,4776,1907,2666,1623,1156,702,3448,2999,1706,3070,4970,1117,970,70
2024-06-01,350,50,2572,137,242,2158,4752,1882,2683,1615,1168,704,3477,2983,1720,3063,5053,1116,933,64
2024-09-01,361,46,2580,141,242,2227,4741,1883,2702,1638,1183,680,3511,2958,1722,3065,5046,1100,928,38
